				y744n40	y744n98	y744n41	y744n101	y744n88	y744n102	y744n89	y744n32	y744n90	y744n51	y744n96	y744n73	y744n97	y744n52	y744n100	y744n94	y744n103	y744n72	21clb2	y80n8a	16cln3	y80n9bf
	Phase	Radius	UID	a_0m	a_7m	a_14m	a_21m	a_28m	a_35m	a_42m	a_49m	a_56m	a_63m	a_70m	a_77m	a_84m	a_91m	a_98m	a_105m	a_112m	a_119m	b2_40m	b2_40m	n3_40m	n3_30m
1	0	0.803	YLR456W	-2.17659	3.52963	0.50795	-0.22358	-1.94448	-2.88241	-2.45285	-0.48709	-0.48349	2.5113	0.61501	1.01467	-1.01593	-0.92625	-3.35938	-0.08706	-0.44597	2.09622	-1.92486	2.79144	-1.9665	0.88742
2	0	0.355	YMR265C	-4.29362	6.94239	-0.01039	0.3234	0.46761	-2.15357	-1.51509	-0.1697	-3.39967	-0.19993	-3.31037	-1.63163	-0.47219	0.47368	-3.26388	-0.76747	1.5616	2.34345	-1.93195	4.62722	-1.98113	-0.57319
3	0.001	0.762	YPL016W	-2.88157	5.2157	-0.33393	-0.7631	-2.74178	-3.99127	-3.44108	-0.663	-0.9535	3.07529	0.89616	1.5346	-0.16081	-0.14075	-3.27597	1.19439	-0.21707	2.78673	-1.81985	2.72565	-1.3554	-0.0101
4	0.001	0.312	YIL072W	-3.09855	2.1716	1.20674	0.81879	0.29505	1.66355	-0.28282	1.98073	0.84586	0.59922	0.74099	-0.8501	-2.32735	-1.17998	-0.54686	0.54816	-1.0074	0.60248	-0.63527	-2.57408	-2.36687	3.62638
5	0.001	0.513	YDR437W	-0.20891	-0.55185	0.15892	-0.64671	-2.74545	-1.43457	-2.56692	0.18161	2.28719	3.67458	4.38514	2.8791	-0.30284	-0.19468	0.15543	2.63916	-1.80634	1.33649	1.26103	-3.05196	-1.9773	2.51887
6	0.001	0.713	YDL138W	-1.22454	3.11147	-0.52352	-0.65931	-1.74665	-2.76039	-2.46675	-0.95792	-0.78688	1.73088	0.8252	1.2939	0.61162	0.49424	-1.44805	0.76878	0.05272	1.51117	0.40909	2.07953	-1.23338	-0.96424
7	0.001	0.329	YER048C	-3.04203	4.40322	-1.23304	-0.47153	-0.90749	-1.13671	-2.27567	0.40771	-0.80612	0.58965	0.83038	0.20603	1.22577	1.75225	0.92336	3.25755	0.10539	1.11813	2.89911	-1.67318	-0.2838	-1.39848
8	0.002	0.538	YDR193W	-8.22703	13.9901	-0.90976	-0.18875	-1.5028	-1.18711	-3.27047	1.52361	-1.04574	1.28326	0.03395	-0.82846	-0.89185	-0.00421	-1.58001	2.45941	-0.3151	2.07268	-0.20173	-1.10389	-1.09513	-0.53828
9	0.002	0.539	YGR059W	-1.21876	2.0826	-0.437	-0.62483	-1.39821	-2.34791	-2.55807	-0.51596	-0.65386	2.07846	1.38883	1.42288	0.73675	1.37767	-0.4526	1.63128	0.29908	2.2043	1.28581	-0.0326	-3.16897	1.31937
10	0.003	0.697	YDL172C	-4.42514	6.7969	-0.8106	-0.56542	-2.39496	-2.84324	-3.13015	0.28777	-0.86137	2.0901	0.65595	0.64177	-0.12884	-0.19457	-2.43511	2.46193	-0.60216	1.96299	-0.90918	0.78634	0.79148	-1.49468
11	0.004	0.54	YPL088W	-8.24762	11.1427	1.89739	1.879	0.20366	0.99983	-1.06499	2.14113	-0.01647	-0.20045	-1.43345	-2.88842	-3.71036	-3.09043	-3.45602	-0.58618	-1.63162	0.09389	-0.12378	0.44952	-0.22173	-0.91364
